"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kervyn N.; Cavazos Arroyo J.; Castillo Villar F.R.; Gomez Zuñiga R.A.","Kervyn, Nicolas (24448018000); Cavazos Arroyo, Judith (56102212300); Castillo Villar, Fernando Rey (57191752007); Gomez Zuñiga, Rosa Andrea (57215492203)","24448018000; 56102212300; 57191752007; 57215492203","What to do when your brand gets kidnapped by Narcos: the case of Buchanan’s whisky","2019","Emerald Emerging Markets Case Studies","9","3","","1","18","17","0","10.1108/EEMCS-07-2019-0198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081003200&doi=10.1108%2fEEMCS-07-2019-0198&partnerID=40&md5=2f051e4edb0139ed040ca296850fb684","Louvain Research Institute of Management and Organisations (LOURIM, Louvain School of Management (LSM), Université Catholique de Louvain (UCLouvain), Louvain la Neuve, Belgium; Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, Mexico; Universidad Autónoma de Baja California, Ensenada, Mexico","Kervyn N., Louvain Research Institute of Management and Organisations (LOURIM, Louvain School of Management (LSM), Université Catholique de Louvain (UCLouvain), Louvain la Neuve, Belgium; Cavazos Arroyo J., Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, Mexico; Castillo Villar F.R., Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, Mexico; Gomez Zuñiga R.A., Universidad Autónoma de Baja California, Ensenada, Mexico","Learning outcomes: Learning outcomes are as follows: understanding the difference between brand identity and brand image; applying various segmentation tools; understanding the appeal of the aspirational brand and its consequence on private and public consumption; exploring the strategic options available to a brand facing a brand appropriation; exploring the pros and cons of opposing a brand appropriation; and developing a plan for the implementation of this strategy. Case overview/synopsis: This case will help students understand the difference between the brand identity that the brand owners intend and the brand image that consumers actually perceive. Complexity academic level: This case is designed to be used in marketing management, brand strategy or consumer culture course. Specifically, the case is designed for college seniors or master students with basic strategic marketing training. It should provide the basis of discussions on the topics of brand management, consumer culture, brand portfolio management, international marketing, repositioning strategy, brand architecture, brand equity, brand assets, brand appropriation and consumer relationships with brands. Supplementary materials: Teaching Notes are available for educators only. Please contact your library to gain login details or email support@emeraldinsight.com to request teaching notes. Subject code: CSS 8: Marketing. © 2019, Emerald Publishing Limited.","Brand management/equity; Consumer behaviour; Marketing","","N. Kervyn; Louvain Research Institute of Management and Organisations (LOURIM, Louvain School of Management (LSM), Université Catholique de Louvain (UCLouvain), Louvain la Neuve, Belgium; email: nicolas.o.kervyn@uclouvain.be","","Emerald Group Publishing Ltd.","20450621","","","","English","Emerald Emerg. Mark. Case Stud.","Article","Final","","Scopus","2-s2.0-85081003200"
"Tortorice D.L.","Tortorice, Daniel L. (14025039700)","14025039700","Long-Run Expectations, Learning and the US Housing Market","2019","Eastern Economic Journal","45","4","","497","531","34","1","10.1057/s41302-019-00141-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070309474&doi=10.1057%2fs41302-019-00141-8&partnerID=40&md5=17d5cea6fcdb2ce8f12f9169df4de6f9","Department of Economics and Accounting, College of the Holy Cross, 1 College St., Worcester, 01610, MA, United States","Tortorice D.L., Department of Economics and Accounting, College of the Holy Cross, 1 College St., Worcester, 01610, MA, United States","In the US housing market, the price-to-rent ratio is volatile and autocorrelated. Returns on housing are positively autocorrelated. The price-to-rent ratio is negatively correlated with future returns and rent growth. Housing returns exhibit time-varying volatility. A benchmark asset pricing model is inconsistent with these facts. A model where prices adjust slowly to their fundamental value and where the agent does not know whether housing fundamentals are trend or difference stationary so has changing beliefs over time, increases the volatility of prices and the autocorrelation of returns. The price-to-rent ratio negatively forecasts returns and rent growth. This model generates time-varying volatility. © 2019, EEA.","Asset pricing; Expectations; Housing demand; Learning","","D.L. Tortorice; Department of Economics and Accounting, College of the Holy Cross, Worcester, 1 College St., 01610, United States; email: dtortori@holycross.edu","","Palgrave Macmillan Ltd.","00945056","","","","English","East. Econ. J.","Article","Final","","Scopus","2-s2.0-85070309474"
"Weigand A.","Weigand, Alois (57207567711)","57207567711","Machine learning in empirical asset pricing","2019","Financial Markets and Portfolio Management","33","1","","93","104","11","24","10.1007/s11408-019-00326-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062611902&doi=10.1007%2fs11408-019-00326-3&partnerID=40&md5=d7d828342ae587d5485cc643f6af550b","Swiss Institute of Banking and Finance (s/bf), University of St. Gallen, Unterer Graben 21, St. Gallen, 9000, Switzerland","Weigand A., Swiss Institute of Banking and Finance (s/bf), University of St. Gallen, Unterer Graben 21, St. Gallen, 9000, Switzerland","The tremendous speedup in computing in recent years, the low data storage costs of today, the availability of “big data” as well as the broad range of free open-source software, have created a renaissance in the application of machine learning techniques in science. However, this new wave of research is not limited to computer science or software engineering anymore. Among others, machine learning tools are now used in financial problem settings as well. Therefore, this paper mentions a specific definition of machine learning in an asset pricing context and elaborates on the usefulness of machine learning in this context. Most importantly, the literature review gives the reader a theoretical overview of the most recent academic studies in empirical asset pricing that employ machine learning techniques. Overall, the paper concludes that machine learning can offer benefits for future research. However, researchers should be critical about these methodologies as machine learning has its pitfalls and is relatively new to asset pricing. © 2019, Swiss Society for Financial Market Research.","Big data; Empirical asset pricing; Machine learning","","A. Weigand; Swiss Institute of Banking and Finance (s/bf), University of St. Gallen, St. Gallen, Unterer Graben 21, 9000, Switzerland; email: alois.weigand@unisg.ch","","Springer New York LLC","19344554","","","","English","Financ. Mark. Portf. Manage.","Article","Final","","Scopus","2-s2.0-85062611902"
"Kara M.; Ulucan A.; Atici K.B.","Kara, Mahmut (57208013501); Ulucan, Aydin (34574047200); Atici, Kazim Baris (54894460400)","57208013501; 34574047200; 54894460400","A hybrid approach for generating investor views in Black–Litterman model","2019","Expert Systems with Applications","128","","","256","270","14","23","10.1016/j.eswa.2019.03.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063588781&doi=10.1016%2fj.eswa.2019.03.041&partnerID=40&md5=60aef6fd165f4beba8caf9003b3a74ae","Ministry of Treasury and Finance, Ankara, Turkey; Department of Business Administration, Hacettepe University, Ankara, Turkey","Kara M., Ministry of Treasury and Finance, Ankara, Turkey; Ulucan A., Department of Business Administration, Hacettepe University, Ankara, Turkey; Atici K.B., Department of Business Administration, Hacettepe University, Ankara, Turkey","One of the main contributions of Black–Litterman asset allocation modeling is bringing out the idea of updating portfolios relying on the investor views. The incorporation of such views may inject subjectivity to the modeling phase. There is a recent literature on generating the views with financial forecasting methods, which employ either econometric or learning algorithms. In this research, we aim to propose a hybrid approach to the stream, in which GARCH modeling is used for predicting indicators for the stocks, followed by translating the indicator forecasts to return forecasts through Support Vector Regression. The obtained return forecasts are then fed into Black–Litterman modeling as investor views vector in order to generate portfolios with rolling data. The proposed model is tested in two markets: an emerging market (BIST-30 index of Istanbul Stock Exchange) and a developed market (Dow Jones Index of US Stock Market). In general, the results reveal better portfolio returns and Sharpe ratios than the index return for different holding periods, as well as better portfolio returns than randomly generated portfolios. We further show that the indicators can be accounted relying on the state or the market (non-trending or trending). © 2019 Elsevier Ltd","Black–Litterman model; GARCH modeling; Portfolio optimization; Support vector regression","Commerce; Financial data processing; Forecasting; Investments; Asset allocation; Emerging markets; Financial forecasting; GARCH models; Hybrid approach; Istanbul stock exchange; Portfolio optimization; Support vector regression (SVR); Financial markets","K.B. Atici; Department of Business Administration, Hacettepe University, Ankara, Turkey; email: kba@hacettepe.edu.tr","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-85063588781"
"Routledge B.R.","Routledge, Bryan R. (6603255760)","6603255760","Machine learning and asset allocation","2019","Financial Management","48","4","","1069","1094","25","10","10.1111/fima.12303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075607737&doi=10.1111%2ffima.12303&partnerID=40&md5=c572dfaa911341c8d7d4ea52678f4eed","Tepper School of Business, Carnegie Mellon University, Pittsburgh, PA, United States","Routledge B.R., Tepper School of Business, Carnegie Mellon University, Pittsburgh, PA, United States","Investors have access to a large array of structured and unstructured data. We consider how these data can be incorporated into financial decisions through the lens of the canonical asset allocation decision. We characterize investor preference for simplicity in models of the data used in the asset allocation decision. The simplicity parameters then guide asset allocation along with the usual risk aversion parameter. We use three distinct and diverse macroeconomic data sets to implement the model to forecast equity returns (the equity risk premium). The data sets we use are (a) price-dividend ratios, (b) an array of macroeconomic series, and (c) text data from the Federal Reserve's Federal Open Market Committee (FOMC) meetings. © 2019 Financial Management Association International","","","B.R. Routledge; Tepper School of Business, Carnegie Mellon University, Pittsburgh, United States; email: routledge@cmu.edu","","John Wiley and Sons Inc.","00463892","","","","English","Financ. Manage.","Article","Final","","Scopus","2-s2.0-85075607737"
"Vo N.N.Y.; He X.; Liu S.; Xu G.","Vo, Nhi N.Y. (57202648571); He, Xuezhong (7404407906); Liu, Shaowu (55207545300); Xu, Guandong (8987733300)","57202648571; 7404407906; 55207545300; 8987733300","Deep learning for decision making and the optimization of socially responsible investments and portfolio","2019","Decision Support Systems","124","","113097","","","","105","10.1016/j.dss.2019.113097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069803699&doi=10.1016%2fj.dss.2019.113097&partnerID=40&md5=84486f00e58eea319ebf1004673a5c6e","Advanced Analytics Institute, University of Technology Sydney, 2-12 Blackfriars Street, Chippendale, NSW 2008, Australia; Business School, University of Technology Sydney, 14-28 Ultimo Rd, Ultimo, NSW 2007, Australia","Vo N.N.Y., Advanced Analytics Institute, University of Technology Sydney, 2-12 Blackfriars Street, Chippendale, NSW 2008, Australia; He X., Business School, University of Technology Sydney, 14-28 Ultimo Rd, Ultimo, NSW 2007, Australia; Liu S., Advanced Analytics Institute, University of Technology Sydney, 2-12 Blackfriars Street, Chippendale, NSW 2008, Australia; Xu G., Advanced Analytics Institute, University of Technology Sydney, 2-12 Blackfriars Street, Chippendale, NSW 2008, Australia","A socially responsible investment portfolio takes into consideration the environmental, social and governance aspects of companies. It has become an emerging topic for both financial investors and researchers recently. Traditional investment and portfolio theories, which are used for the optimization of financial investment portfolios, are inadequate for decision-making and the construction of an optimized socially responsible investment portfolio. In response to this problem, we introduced a Deep Responsible Investment Portfolio (DRIP) model that contains a Multivariate Bidirectional Long Short-Term Memory neural network, to predict stock returns for the construction of a socially responsible investment portfolio. The deep reinforcement learning technique was adapted to retrain neural networks and rebalance the portfolio periodically. Our empirical data revealed that the DRIP framework could achieve competitive financial performance and better social impact compared to traditional portfolio models, sustainable indexes and funds. © 2019 Elsevier B.V.","Decision support systems; Deep reinforcement learning; Multivariate analytics; Portfolio optimization; Socially responsible investment","Decision making; Decision support systems; Electronic trading; Investments; Machine learning; Reinforcement learning; Financial investments; Financial investors; Financial performance; Investment portfolio; Multivariate analytics; Portfolio optimization; Reinforcement learning techniques; Socially responsible investments; Deep learning","G. Xu; Advanced Analytics Institute, University of Technology Sydney, Chippendale, 2-12 Blackfriars Street, NSW 2008, Australia; email: guandong.xu@uts.edu.au","","Elsevier B.V.","01679236","","DSSYD","","English","Decis Support Syst","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85069803699"
"Paiva F.D.; Cardoso R.T.N.; Hanaoka G.P.; Duarte W.M.","Paiva, Felipe Dias (57195507454); Cardoso, Rodrigo Tomás Nogueira (23974114700); Hanaoka, Gustavo Peixoto (57195506214); Duarte, Wendel Moreira (57203788628)","57195507454; 23974114700; 57195506214; 57203788628","Decision-making for financial trading: A fusion approach of machine learning and portfolio selection","2019","Expert Systems with Applications","115","","","635","655","20","156","10.1016/j.eswa.2018.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052942866&doi=10.1016%2fj.eswa.2018.08.003&partnerID=40&md5=3fd1709b2d2ec3f6fe16cf1b2bf4ad8e","Centro Federal de Educação Tecnológica de Minas Gerais, Pós-Graduação em Administração, Av. Amazonas, 7675, zip code 30510-000, Belo Horizonte, MG, Brazil; Complex Systems Group (GESC), Centro Federal de Educação Tecnológica de Minas Gerais, Brazil","Paiva F.D., Centro Federal de Educação Tecnológica de Minas Gerais, Pós-Graduação em Administração, Av. Amazonas, 7675, zip code 30510-000, Belo Horizonte, MG, Brazil; Cardoso R.T.N., Complex Systems Group (GESC), Centro Federal de Educação Tecnológica de Minas Gerais, Brazil; Hanaoka G.P., Complex Systems Group (GESC), Centro Federal de Educação Tecnológica de Minas Gerais, Brazil; Duarte W.M., Centro Federal de Educação Tecnológica de Minas Gerais, Pós-Graduação em Administração, Av. Amazonas, 7675, zip code 30510-000, Belo Horizonte, MG, Brazil","Forecasting stock returns is an exacting prospect in the context of financial time series. This study proposes a unique decision-making model for day trading investments on the stock market. In this regard, the model was developed using a fusion approach of a classifier based on machine learning, with the support vector machine (SVM) method, and the mean-variance (MV) method for portfolio selection. The model's experimental evaluation was based on assets from the São Paulo Stock Exchange Index (Ibovespa). Monthly rolling windows were used to choose the best-performing parameter sets (the in-sample phase) and testing (the out-of-sample phase). The monthly windows were composed of daily rolling windows, with new training of the classifying algorithm and portfolio optimization. A total of 81 parameter arrangements were formulated. To compare the proposed model's performance, two other models were suggested: (i) SVM + 1/N, which maintained the process of classifying the trends of the assets that reached a certain target of gain and which invested equally in all assets that had positive signals in their classifications, and (ii) Random + MV, which also maintained the selection of those assets with a tendency to reach a certain target of gain, but where the selection was randomly defined. Then, the portfolio's composition was determined using the MV method. Together, the alternative models registered 36 parameter variations. In addition to these two models, the results were also compared with the Ibovespa's performance. The experiments were formulated using historical data for 3716 trading days for the out-of-sample analysis. Simulations were conducted without including transaction costs and also with the inclusion of a proportion of such costs. We specifically analyzed the effect of brokerage costs on buying and selling stocks on the Brazilian market. This study also evaluated the classifier's performance, portfolios’ cardinality, and models’ returns and risks. The proposed main model showed significant results, although demand for trading value can be a limiting factor for its implementation. Nonetheless, this study extends the theoretical application of machine learning and offers a potentially practical approach to anticipating stock prices. © 2018 Elsevier Ltd","Decision-making; Financial trading; Portfolio selection; Stock market; Support vector machines","Artificial intelligence; Commerce; Decision making; Electronic trading; Financial markets; Investments; Support vector machines; Buying and selling stocks; Classifier's performance; Decision making models; Experimental evaluation; Financial time series; Financial trading; Portfolio optimization; Portfolio selection; Costs","F.D. Paiva; Centro Federal de Educação Tecnológica de Minas Gerais, Pós-Graduação em Administração, Belo Horizonte, Av. Amazonas, 7675, zip code 30510-000, Brazil; email: fpaiva@dcsa.cefetmg.br","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-85052942866"
"Bashynska I.; Baldzhy M.; Ivanchenkova L.; Skliar L.; Nikoliuk O.; Tkachuk G.","Bashynska, Iryna (57148584000); Baldzhy, Maryna (57210806276); Ivanchenkova, Larysa (57209503112); Skliar, Larysa (57210797210); Nikoliuk, Olena (57210213558); Tkachuk, Galina (16527961500)","57148584000; 57210806276; 57209503112; 57210797210; 57210213558; 16527961500","Game risk management methods for investment portfolio optimization","2019","International Journal of Recent Technology and Engineering","8","2","","3940","3943","3","37","10.35940/ijrte.B1729.078219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071512115&doi=10.35940%2fijrte.B1729.078219&partnerID=40&md5=e3eec8640468debbecba189378b6ca26","Department of Accounting, Analysis and Audit, Odessa National Polytechnic University, Odessa, Ukraine; Department of Economics, Law and Business Management, Odessa National Economic University, Odessa, Ukraine; Department of Accounting and Audit, Odessa National Academy of Food Technologies, Odessa, Ukraine; Department of Management and Logistics, Odessa National Academy of Food Technologies, Odessa, Ukraine","Bashynska I., Department of Accounting, Analysis and Audit, Odessa National Polytechnic University, Odessa, Ukraine; Baldzhy M., Department of Economics, Law and Business Management, Odessa National Economic University, Odessa, Ukraine; Ivanchenkova L., Department of Accounting and Audit, Odessa National Academy of Food Technologies, Odessa, Ukraine; Skliar L., Department of Accounting and Audit, Odessa National Academy of Food Technologies, Odessa, Ukraine; Nikoliuk O., Department of Management and Logistics, Odessa National Academy of Food Technologies, Odessa, Ukraine; Tkachuk G., Department of Accounting and Audit, Odessa National Academy of Food Technologies, Odessa, Ukraine","The world is on the verge of technological revolution, which will fundamentally change the way of life, work and attitude towards each other [1]. We live in the era of the Third Industrial (or Digital) Revolution, but modern world leaders are already actively preparing for a new period-the Fourth Industrial Revolution or Industry 4.0. New forms of interaction open up opportunities in the organization of work and change requirements for employees. Business becomes digital, but the person stays. Employees will continue to remain crucial factors in innovation, continually developing products and services. The lack of talented and skilled personnel will be the main problem of the Fourth Industrial Revolution. Flexible production through FIR will require much more skills in all workflows for all employees. Skilled workers will be more in demand in the future for making decisions that can not be replaced by any algorithm. At the same time, employees must be trained and qualified for new jobs, so it is essential to review standards, for example, in education and training, and adapt them to new requirements. The implementation of interactive technologies in learning has become a necessity. One of the effective methods is business games: both independently and in combination with theoretical training. Precisely this combination (practice) is optimal for students to learn lecture material and acquire competencies. The article is devoted to the description of the technique of conducting risk management training. We described the technology of the training, dividing it into two parts. In the first part, the students are reminded of the risk management theory; in the second part, a business game is held-""Investment portfolio"". In the article, we showed how it could be carried out with and without the use of gadgets/computers. As an example, we considered the most frequent mistake when conducting this game and gave a correct model. Besides, in the article, we gave formulas for automating the game of Excel. © BEIESP.","Probability; Profitability; Risk; Risk management","","","","Blue Eyes Intelligence Engineering and Sciences Publication","22773878","","","","English","Int. J. Recent Technol. Eng.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071512115"
"Liu S.; Borovykh A.; Grzelak L.A.; Oosterlee C.W.","Liu, Shuaiqiang (57208438702); Borovykh, Anastasia (57193126885); Grzelak, Lech A. (18041889100); Oosterlee, Cornelis W. (6701797256)","57208438702; 57193126885; 18041889100; 6701797256","A neural network-based framework for financial model calibration","2019","Journal of Mathematics in Industry","9","1","9","","","","64","10.1186/s13362-019-0066-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071941149&doi=10.1186%2fs13362-019-0066-7&partnerID=40&md5=10826923e7c650c0876c86e1c7883b08","Applied Mathematics (DIAM), Delft University of Technology, Delft, Netherlands; Centrum Wiskunde & Informatica, Amsterdam, Netherlands","Liu S., Applied Mathematics (DIAM), Delft University of Technology, Delft, Netherlands; Borovykh A., Centrum Wiskunde & Informatica, Amsterdam, Netherlands; Grzelak L.A., Applied Mathematics (DIAM), Delft University of Technology, Delft, Netherlands; Oosterlee C.W., Applied Mathematics (DIAM), Delft University of Technology, Delft, Netherlands, Centrum Wiskunde & Informatica, Amsterdam, Netherlands","A data-driven approach called CaNN (Calibration Neural Network) is proposed to calibrate financial asset price models using an Artificial Neural Network (ANN). Determining optimal values of the model parameters is formulated as training hidden neurons within a machine learning framework, based on available financial option prices. The framework consists of two parts: a forward pass in which we train the weights of the ANN off-line, valuing options under many different asset model parameter settings; and a backward pass, in which we evaluate the trained ANN-solver on-line, aiming to find the weights of the neurons in the input layer. The rapid on-line learning of implied volatility by ANNs, in combination with the use of an adapted parallel global optimization method, tackles the computation bottleneck and provides a fast and reliable technique for calibrating model parameters while avoiding, as much as possible, getting stuck in local minima. Numerical experiments confirm that this machine-learning framework can be employed to calibrate parameters of high-dimensional stochastic volatility models efficiently and accurately. © 2019, The Author(s).","Artificial neural networks; Asset pricing model; Computational finance; Global optimization; Machine learning; Model calibration; Parallel computing","Calcium compounds; Costs; Economic analysis; Electronic trading; Global optimization; Learning systems; Machine learning; Neural networks; Parallel processing systems; Stochastic systems; Asset pricing model; Computational finance; Data-driven approach; Global optimization method; Model calibration; Network-based framework; Numerical experiments; Stochastic Volatility Model; Stochastic models","S. Liu; Applied Mathematics (DIAM), Delft University of Technology, Delft, Netherlands; email: s.liu-4@tudelft.nl","","Springer Verlag","21905983","","","","English","J. Math. Ind.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071941149"
"Panwar D.; Jha M.; Srivastava N.","Panwar, Darsha (57203435541); Jha, Manoj (57211391505); Srivastava, Namita (55799759900)","57203435541; 57211391505; 55799759900","Performance evaluation of genetic algorithm & fuzzy logic for portfolio optimization","2019","International Journal of Recent Technology and Engineering","8","3","","1996","2002","6","0","10.35940/ijrte.C4494.098319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073565177&doi=10.35940%2fijrte.C4494.098319&partnerID=40&md5=ee801eeeb8e425b02bb585b1d0b37b25","Department of Mathematics, Maulana Azad National Institute of Technology, Bhopal, M.P., India","Panwar D., Department of Mathematics, Maulana Azad National Institute of Technology, Bhopal, M.P., India; Jha M., Department of Mathematics, Maulana Azad National Institute of Technology, Bhopal, M.P., India; Srivastava N., Department of Mathematics, Maulana Azad National Institute of Technology, Bhopal, M.P., India","Teaching-learning based optimization (TLBO), biogeography-based optimization (BBO) and fuzzy multi-objective linear programming (FMOLP) are compared in this paper for portfolio optimization. A hybrid approach has been adopted for this comparative study which is a combination of a few methods, such as investor topology, cluster analysis, analytical hierarchy process (AHP) and optimization techniques. Return, risk, liquidity, coefficient of variation (CV) and AHP weighted scores are used as the objective function for optimization. © BEIESP.","Analytical hierarchy process; Biogeography-based algorithm; Cluster analysis; Fuzzy multi-objective linear programming; Portfolio optimization; Teaching-learning based algorithm","","","","Blue Eyes Intelligence Engineering and Sciences Publication","22773878","","","","English","Int. J. Recent Technol. Eng.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85073565177"
"Hafeez K.; Foroudi P.; Nguyen B.","Hafeez, Khalid (6602384087); Foroudi, Pantea (56262356300); Nguyen, Bang (55155212400)","6602384087; 56262356300; 55155212400","An integrated core competence evaluation framework for portfolio management in the oil industry","2019","International Journal of Management and Decision Making","18","3","","229","256","27","8","10.1504/IJMDM.2019.100493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068415300&doi=10.1504%2fIJMDM.2019.100493&partnerID=40&md5=bd91d98441c9aa4b803d9410d9e954a1","Dundee Business School, Abertay University, United Kingdom; Business School, Middlesex University, London, United Kingdom; East China University of Science and Technology, School of Business, Shanghai, China","Hafeez K., Dundee Business School, Abertay University, United Kingdom; Foroudi P., Business School, Middlesex University, London, United Kingdom; Nguyen B., East China University of Science and Technology, School of Business, Shanghai, China","Drawing upon resource-based theory, this paper presents a core competence evaluation framework for managing the competence portfolio of an oil company. It introduces a network typology to illustrate how to form different types of strategic alliance relations with partnering firms to manage and grow the competence portfolio. A framework is tested using a case study approach involving face-to-face structured interviews. We identified purchasing, refining and sales and marketing as strong candidates to be the core competencies. However, despite the company's core business of refining oil, the core competencies were identified to be their research and development and performance management (PM) capabilities. We further provide a procedure to determine different kinds of physical, intellectual and cultural resources making a dominant impact on company's competence portfolio. In addition, we provide a comprehensive set of guidelines on how to develop core competence further by forging a partnership alliance choosing an appropriate network topology. Copyright © 2019 Inderscience Enterprises Ltd.","Collective learning; Competence portfolio; Core competence; Network topology; Resource-asset-capability; Resource-based view","","B. Nguyen; East China University of Science and Technology, School of Business, Shanghai, China; email: bang.london@gmail.com","","Inderscience Publishers","14624621","","","","English","Int. J. Manage. Decis. Mak.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85068415300"
"Almahdi S.; Yang S.Y.","Almahdi, Saud (57194597306); Yang, Steve Y. (24802841600)","57194597306; 24802841600","A constrained portfolio trading system using particle swarm algorithm and recurrent reinforcement learning","2019","Expert Systems with Applications","130","","","145","156","11","50","10.1016/j.eswa.2019.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064433484&doi=10.1016%2fj.eswa.2019.04.013&partnerID=40&md5=59cdf6d6b51e2111d6a008646f914fc3","School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States","Almahdi S., School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States; Yang S.Y., School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States","This study extends a recurrent reinforcement portfolio allocation and rebalancing management system with complex portfolio constraints using particle swarm algorithms. In particular, we propose to use a combination of recurrent reinforcement learning (RRL) and particle swarm algorithm (PSO) with Calmar ratio for both asset allocation and constraint optimization. Using S&P100 index stocks, we show such a system with a Calmar ratio based objective function yields a better efficient frontier than the Sharpe ratio and mean-variance based portfolios. By comparing with multiple PSO based long only constrained portfolios, we propose an optimal portfolio trading system that is capable of generating both long and short signals and handling the common portfolio constraints. We further develop an adaptive RRL-PSO portfolio rebalancing decision system with a market condition stop-loss retraining mechanism, and we show that the proposed portfolio trading system outperforms the benchmarks consistently especially under high transaction cost conditions. © 2019","Optimal portfolio rebalancing; Particle swarm optimization; Portfolio constraint; Recurrent reinforcement learning","Commerce; Constrained optimization; Costs; Financial markets; Investments; Learning algorithms; Machine learning; Particle swarm optimization (PSO); Reinforcement learning; Swarm intelligence; Constrained portfolios; Constraint optimizations; Objective functions; Optimal portfolios; Particle swarm algorithm; Portfolio constraints; Rebalancing; Recurrent reinforcement learning; Electronic trading","S.Y. Yang; School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, United States; email: steve.yang@stevens.edu","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-85064433484"
"Jan M.N.; Ayub U.","Jan, Muhammad Naveed (57209073788); Ayub, Usman (38960971200)","57209073788; 38960971200","Do the fama and french five-factor model forecast well using ann?","2019","Journal of Business Economics and Management","20","1","","168","191","23","12","10.3846/jbem.2019.8250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066430415&doi=10.3846%2fjbem.2019.8250&partnerID=40&md5=d1f889f17794c974ef3fbc61fb3b2a06","Department of Management Sciences, Capital University of Science and Technology, Islamabad, Pakistan; Department of Management Sciences, COMSATS University Islamabad, Pakistan","Jan M.N., Department of Management Sciences, Capital University of Science and Technology, Islamabad, Pakistan; Ayub U., Department of Management Sciences, COMSATS University Islamabad, Pakistan","Forecasting the stock returns in the emerging markets is challenging due to their peculiar characteristics. These markets exhibit linear as well as nonlinear features and Conventional forecasting methods partially succeed in dealing with the nonlinear nature of stock returns. Contrarily, Artificial Neural Networks (ANN) is a flexible machine learning tool which caters both the linear and nonlinear markets. This paper investigates the forecasting ability of ANN by using Fama and French five-factor model. We construct ANN’s based on the composite factors of the FF5F model to predict portfolio returns in two stages; in stage one, the study identifies the best-fit combination of training, testing, and validation along with the number of neurons full sample period. In stage two, the study uses this best combination to forecast the model under 48-months rolling window analysis. In-sample and out-sample comparisons, regression, and goodness of fit test and actual and predicted values of the stock returns of our ANN model reveal that the proposed model accurately predicts the one-month ahead returns. Our findings reinforce the investment concept that the markets compensate the high-risk portfolios more than mid and low beta portfolios and the methodology will significantly improve the return on investment of the investors. © 2019 The Author(s).","Artificial neural networks; Asset pricing models; Fama and French 5 Factors CAPM; Forecasting; Stock markets","","M.N. Jan; Department of Management Sciences, Capital University of Science and Technology, Islamabad, Pakistan; email: naveedjan20005@gmail.com","","Vilnius Gediminas Technical University","16111699","","","","English","J. Bus. Econ. Manage.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85066430415"
